Node_ID,Main_Tag,Detailed_Tag
38943105,Moda_Lusso,Puro_Moda_Lusso
38945641,Moda_Lusso,Puro_Moda_Lusso
38947280,Generalista,Generalista
38958924,Generalista,Generalista
38981441,Tech_Elettronica,Puro_Tech_Elettronica
38984474,Generalista,Debole_Action_Figure
38985225,Action_Figure,Puro_Action_Figure
38994219,Fumetti_Manga,Puro_Fumetti_Manga
39002081,Generalista,Debole_Gaming_Console
39006285,Carte_TCG,Puro_Carte_TCG
39016986,Generalista,Debole_Carte_TCG
39018059,Generalista,Debole_Action_Figure
39019875,Generalista,Debole_Media_Vinili
39025006,Generalista,Generalista_Puro
39027475,Generalista,Generalista
39053292,Generalista,Generalista_Puro
39066531,Moda_Lusso,Puro_Moda_Lusso
39081835,Generalista,Generalista
39090522,Moda_Lusso,Puro_Moda_Lusso
39100757,Generalista,Generalista_Puro
39113938,Generalista,Debole_Carte_TCG
39127018,Moda_Lusso,Puro_Moda_Lusso
39130697,Moda_Lusso,Puro_Moda_Lusso
39145240,Generalista,Debole_Moda_Lusso
39153661,Multi_category,Multi_category_Action_Figure_Gaming_Console
39168092,Generalista,Generalista_Puro
39170560,Moda_Lusso,Puro_Moda_Lusso
39185844,Generalista,Debole_Moda_Lusso
39189398,Generalista,Debole_Carte_TCG
39191718,Generalista,Generalista
39199685,Generalista,Generalista
39201805,Generalista,Generalista
39202672,Generalista,Generalista
39203170,Generalista,Generalista
39218838,Generalista,Generalista
39247252,Generalista,Generalista_Puro
39248444,Generalista,Generalista_Puro
39252584,Generalista,Debole_Fumetti_Manga
39259197,Multi_category,Multi_category_Carte_TCG_Moda_Lusso
39287199,Generalista,Debole_Moda_Lusso
39314558,Generalista,Generalista_Puro
39327510,Generalista,Generalista
39331024,Generalista,Generalista
39335374,Moda_Lusso,Puro_Moda_Lusso
39343273,Generalista,Generalista
39359975,Media_Vinili,Puro_Media_Vinili
39361462,Moda_Lusso,Puro_Moda_Lusso
39366006,Generalista,Debole_Action_Figure
39372544,Generalista,Generalista_Puro
39379271,Generalista,Debole_Tech_Elettronica
39383227,Generalista,Debole_Moda_Lusso
39392456,Moda_Lusso,Puro_Moda_Lusso
39401655,Generalista,Debole_Moda_Lusso
39424159,Generalista,Debole_Action_Figure
39432381,Generalista,Debole_Gaming_Console
39433296,Multi_category,Multi_category_Moda_Lusso_Action_Figure
39437722,Generalista,Debole_Fumetti_Manga
39449507,Moda_Lusso,Puro_Moda_Lusso
39450605,Action_Figure,Puro_Action_Figure
39457452,Generalista,Generalista
39460575,Generalista,Generalista
39464808,Generalista,Generalista
39475409,Generalista,Generalista
39479356,Generalista,Generalista
39479877,Generalista,Generalista
39485885,Generalista,Generalista
39486361,Generalista,Generalista
39514610,Action_Figure,Puro_Action_Figure
39515560,Generalista,Generalista_Puro
39524962,Moda_Lusso,Puro_Moda_Lusso
39528223,Action_Figure,Puro_Action_Figure
39531224,Generalista,Debole_Moda_Lusso
39533322,Action_Figure,Puro_Action_Figure
39533334,Generalista,Debole_Moda_Lusso
39535488,Moda_Lusso,Puro_Moda_Lusso
39544720,Generalista,Debole_Moda_Lusso
39545283,Generalista,Debole_Action_Figure
39545794,Generalista,Debole_Media_Vinili
39547505,Multi_category,Multi_category_Moda_Lusso_Action_Figure
39562446,Generalista,Generalista_Puro
39573895,Generalista,Generalista_Puro
39577139,Moda_Lusso,Puro_Moda_Lusso
39588700,Generalista,Generalista
39597694,Multi_category,Multi_category_Gaming_Console_Fumetti_Manga
39608004,Generalista,Generalista
39610549,Action_Figure,Puro_Action_Figure
39614870,Generalista,Generalista
39616723,Action_Figure,Puro_Action_Figure
39624291,Generalista,Generalista
39628447,Action_Figure,Puro_Action_Figure
39646856,Generalista,Debole_Moda_Lusso
39649322,Generalista,Generalista
39651174,Action_Figure,Puro_Action_Figure
39664711,Multi_category,Multi_category_Gaming_Console_Action_Figure
39671532,Generalista,Generalista_Puro
39673674,Moda_Lusso,Puro_Moda_Lusso
39690559,Moda_Lusso,Puro_Moda_Lusso
39699654,Moda_Lusso,Puro_Moda_Lusso
39702785,Generalista,Debole_Moda_Lusso
39703945,Moda_Lusso,Puro_Moda_Lusso
39710177,Multi_category,Multi_category_Media_Vinili_Action_Figure
39711512,Generalista,Debole_Fumetti_Manga
39716275,Action_Figure,Puro_Action_Figure
39716412,Moda_Lusso,Puro_Moda_Lusso
